Commodity,Date,Minimum,Maximum,Average
Grapes(Black),11/17/2022,380.00,400.00,393.33
Grapes(Green),11/17/2022,280.00,300.00,290.00
Green Peas,11/17/2022,120.00,140.00,130.00
Gundruk,11/17/2022,300.00,350.00,325.00
Kiwi,11/17/2022,200.00,250.00,225.00
Knolkhol,11/17/2022,80.00,90.00,85.00
Lemon,11/17/2022,40.00,50.00,46.67
Lettuce,11/17/2022,70.00,80.00,77.50
Lime,11/17/2022,110.00,130.00,120.00
Mandarin,11/17/2022,220.00,250.00,240.00
Mint,11/17/2022,600.00,700.00,650.00
Mombin,11/17/2022,60.00,70.00,65.00
Mushroom(Button),11/17/2022,280.00,320.00,300.00
Mushroom(Kanya),11/17/2022,120.00,150.00,134.00
Mustard Leaf,11/17/2022,40.00,50.00,46.67
Okara,11/17/2022,80.00,90.00,86.00
Onion Dry (Indian),11/17/2022,46.00,50.00,48.00
Onion Green,11/17/2022,80.00,90.00,86.67
Orange(Indian),11/17/2022,100.00,110.00,105.00
Orange(Nepali),11/17/2022,100.00,120.00,110.00
Papaya(Indian),11/17/2022,110.00,120.00,116.67
Papaya(Nepali),11/17/2022,80.00,90.00,86.67
Parseley,11/17/2022,500.00,600.00,550.00
Pear(Chinese),11/17/2022,220.00,250.00,235.00
Pineapple,11/17/2022,160.00,200.00,180.00
Pointed Gourd(Local),11/17/2022,35.00,40.00,37.50
Pointed Gourd(Terai),11/17/2022,35.00,40.00,38.33
Pomegranate,11/17/2022,380.00,400.00,393.33
Potato Red,11/17/2022,55.00,60.00,57.50
Potato Red(Indian),11/17/2022,34.00,36.00,35.00
Potato White,11/17/2022,40.00,45.00,43.00
Pumpkin,11/17/2022,30.00,40.00,35.00
Raddish Red,11/17/2022,30.00,40.00,35.00
Raddish White(Hybrid),11/17/2022,30.00,35.00,33.33
Raddish White(Local),11/17/2022,20.00,25.00,23.33
Red Cabbbage,11/17/2022,90.00,100.00,96.67
Smooth Gourd,11/17/2022,50.00,60.00,56.67
Spinach Leaf,11/17/2022,150.00,200.00,183.33
Squash(Long),11/17/2022,40.00,50.00,46.00
Squash(Round),11/17/2022,40.00,50.00,45.00
Strawberry,11/17/2022,600.00,650.00,625.00
Sugarbeet,11/17/2022,80.00,90.00,86.67
Sugarcane,11/17/2022,70.00,80.00,76.67
Sweet Orange,11/17/2022,120.00,140.00,130.00
Sweet Potato,11/17/2022,40.00,50.00,46.67
Sword Bean,11/17/2022,100.00,120.00,110.00
Tamarind,11/17/2022,140.00,150.00,146.67
Tofu,11/17/2022,120.00,130.00,126.67
Tomato Big(Indian),11/17/2022,60.00,70.00,65.00
Tomato Big(Nepali),11/17/2022,50.00,60.00,55.00
Tomato Small(Local),11/17/2022,18.00,25.00,21.00
Tomato Small(Tunnel),11/17/2022,30.00,40.00,35.00
Turnip,11/17/2022,50.00,60.00,56.67
Turnip A,11/17/2022,80.00,90.00,86.67
Water Melon(Green),11/17/2022,80.00,90.00,86.67
Yam,11/17/2022,90.00,100.00,96.67
Amla,11/18/2022,50.00,60.00,56.67
Apple(Fuji),11/18/2022,220.00,250.00,240.00
Arum,11/18/2022,40.00,50.00,46.67
Asparagus,11/18/2022,0.00,0.00,0.00
Avocado,11/18/2022,200.00,250.00,225.00
Bakula,11/18/2022,100.00,120.00,110.00
Bamboo Shoot,11/18/2022,100.00,110.00,106.67
Banana,11/18/2022,120.00,130.00,125.00
Barela,11/18/2022,30.00,40.00,35.00
Bitter Gourd,11/18/2022,70.00,80.00,76.67
Bottle Gourd,11/18/2022,30.00,40.00,36.67
Brd Leaf Mustard,11/18/2022,50.00,60.00,56.00
Brinjal Long,11/18/2022,20.00,30.00,25.00
Brinjal Round,11/18/2022,60.00,70.00,66.67
Brocauli,11/18/2022,100.00,120.00,113.33
Cabbage(Local),11/18/2022,30.00,40.00,35.00
Capsicum,11/18/2022,60.00,70.00,65.00
Carrot(Local),11/18/2022,120.00,130.00,125.00
Cauli Local,11/18/2022,40.00,50.00,45.00
Cauli Local(Jyapu),11/18/2022,50.00,60.00,56.67
Celery,11/18/2022,300.00,350.00,325.00
Chilli Dry,11/18/2022,440.00,460.00,450.00
Chilli Green,11/18/2022,50.00,60.00,55.00
Chilli Green(Akbare),11/18/2022,140.00,160.00,150.00
Chilli Green(Bullet),11/18/2022,60.00,70.00,66.67
Chilli Green(Machhe),11/18/2022,120.00,150.00,135.00
Christophine,11/18/2022,15.00,20.00,17.50
Clive Dry,11/18/2022,200.00,220.00,210.00
Clive Green,11/18/2022,120.00,150.00,135.00
Coriander Green,11/18/2022,100.00,120.00,110.00
Cow pea(Long),11/18/2022,80.00,90.00,86.00
Cowpea(Short),11/18/2022,50.00,60.00,56.67
Cress Leaf,11/18/2022,150.00,180.00,165.00
Cucumber(Hybrid),11/18/2022,50.00,60.00,56.67
Cucumber(Local),11/18/2022,80.00,90.00,85.00
Fennel Leaf,11/18/2022,150.00,180.00,165.00
Fenugreek Leaf,11/18/2022,150.00,180.00,170.00
Fish Fresh(Bachuwa),11/18/2022,240.00,250.00,246.67
Fish Fresh(Chhadi),11/18/2022,240.00,250.00,246.67
Fish Fresh(Mungari),11/18/2022,210.00,230.00,220.00
Fish Fresh(Rahu),11/18/2022,330.00,350.00,340.00
French Bean(Hybrid),11/18/2022,70.00,80.00,76.00
French Bean(Local),11/18/2022,60.00,70.00,65.00
French Bean(Rajma),11/18/2022,90.00,100.00,95.00
Garlic Dry Chinese,11/18/2022,160.00,170.00,165.00
Garlic Dry Nepali,11/18/2022,100.00,110.00,106.67
Garlic Green,11/18/2022,140.00,150.00,146.67
Ginger,11/18/2022,50.00,60.00,55.00
Grapes(Black),11/18/2022,380.00,400.00,390.00
Grapes(Green),11/18/2022,280.00,300.00,290.00
Green Peas,11/18/2022,140.00,160.00,150.00
Gundruk,11/18/2022,300.00,350.00,325.00
Kiwi,11/18/2022,200.00,250.00,225.00
Knolkhol,11/18/2022,70.00,80.00,76.67
Lemon,11/18/2022,40.00,50.00,46.67
Lettuce,11/18/2022,50.00,60.00,56.67
Lime,11/18/2022,100.00,130.00,114.00
Mandarin,11/18/2022,220.00,250.00,235.00
Mint,11/18/2022,600.00,700.00,650.00
Mombin,11/18/2022,60.00,70.00,66.00
Mushroom(Button),11/18/2022,330.00,380.00,358.00
Mushroom(Kanya),11/18/2022,120.00,150.00,134.00
Mustard Leaf,11/18/2022,40.00,50.00,46.67
Okara,11/18/2022,70.00,80.00,76.67
Onion Dry (Indian),11/18/2022,45.00,50.00,48.20
Onion Green,11/18/2022,80.00,90.00,86.67
Orange(Indian),11/18/2022,90.00,100.00,95.00
Orange(Nepali),11/18/2022,100.00,120.00,110.00
Papaya(Indian),11/18/2022,110.00,120.00,116.67
Papaya(Nepali),11/18/2022,80.00,90.00,86.67
Parseley,11/18/2022,500.00,600.00,550.00
Pear(Chinese),11/18/2022,220.00,250.00,235.00
Pineapple,11/18/2022,150.00,200.00,175.00
Pointed Gourd(Local),11/18/2022,40.00,50.00,45.00
Pointed Gourd(Terai),11/18/2022,40.00,50.00,45.00
Pomegranate,11/18/2022,380.00,400.00,390.00
Potato Red,11/18/2022,50.00,55.00,52.50
Potato Red(Indian),11/18/2022,34.00,36.00,35.00
Potato White,11/18/2022,44.00,46.00,45.00
Pumpkin,11/18/2022,25.00,35.00,29.00
Raddish Red,11/18/2022,30.00,40.00,35.00
Raddish White(Hybrid),11/18/2022,30.00,35.00,33.33
Raddish White(Local),11/18/2022,20.00,25.00,23.33
Red Cabbbage,11/18/2022,90.00,100.00,96.67
Sarifa,11/18/2022,300.00,350.00,325.00
Smooth Gourd,11/18/2022,50.00,60.00,55.00
Spinach Leaf,11/18/2022,150.00,180.00,165.00
Squash(Long),11/18/2022,40.00,50.00,45.00
Squash(Round),11/18/2022,40.00,50.00,45.00
Strawberry,11/18/2022,600.00,650.00,625.00
Sugarbeet,11/18/2022,80.00,90.00,86.67
Sugarcane,11/18/2022,80.00,90.00,86.67
Sweet Orange,11/18/2022,120.00,140.00,130.00
Sweet Potato,11/18/2022,40.00,50.00,46.67
Sword Bean,11/18/2022,120.00,140.00,130.00
Tamarind,11/18/2022,140.00,150.00,145.00
Tofu,11/18/2022,120.00,130.00,126.67
Tomato Big(Indian),11/18/2022,60.00,70.00,66.67
Tomato Big(Nepali),11/18/2022,50.00,60.00,55.00
Tomato Small(Local),11/18/2022,16.00,25.00,20.60
Tomato Small(Tunnel),11/18/2022,40.00,50.00,45.00
Turnip,11/18/2022,50.00,60.00,56.67
Turnip A,11/18/2022,80.00,90.00,86.67
Water Melon(Green),11/18/2022,80.00,90.00,86.67
Yam,11/18/2022,80.00,90.00,86.67
Amla,11/19/2022,50.00,60.00,56.67
Apple(Fuji),11/19/2022,220.00,250.00,235.00
Arum,11/19/2022,40.00,50.00,46.67
Asparagus,11/19/2022,0.00,0.00,0.00
Avocado,11/19/2022,200.00,220.00,210.00
Bakula,11/19/2022,100.00,110.00,105.00
Bamboo Shoot,11/19/2022,100.00,110.00,106.67
Banana,11/19/2022,120.00,130.00,126.67
Barela,11/19/2022,30.00,40.00,35.00
Bitter Gourd,11/19/2022,70.00,80.00,75.00
Bottle Gourd,11/19/2022,40.00,50.00,43.33
Brd Leaf Mustard,11/19/2022,60.00,70.00,66.00
Brinjal Long,11/19/2022,30.00,40.00,35.00
Brinjal Round,11/19/2022,70.00,80.00,73.33
Brocauli,11/19/2022,100.00,120.00,113.33
Cabbage(Local),11/19/2022,35.00,45.00,39.00
Capsicum,11/19/2022,70.00,80.00,75.00
Carrot(Local),11/19/2022,120.00,130.00,125.00
Cauli Local,11/19/2022,40.00,50.00,45.00
Cauli Local(Jyapu),11/19/2022,50.00,60.00,56.67
Celery,11/19/2022,300.00,350.00,325.00
Chilli Dry,11/19/2022,440.00,450.00,446.67
Chilli Green,11/19/2022,50.00,60.00,56.67
Chilli Green(Akbare),11/19/2022,140.00,150.00,146.67
Chilli Green(Bullet),11/19/2022,60.00,70.00,66.67
Chilli Green(Machhe),11/19/2022,140.00,150.00,146.67
Christophine,11/19/2022,15.00,20.00,17.50
Clive Dry,11/19/2022,200.00,220.00,210.00
Clive Green,11/19/2022,120.00,150.00,135.00
Coriander Green,11/19/2022,120.00,150.00,135.00
Cow pea(Long),11/19/2022,90.00,100.00,95.00
Cowpea(Short),11/19/2022,50.00,60.00,55.00
Cress Leaf,11/19/2022,150.00,180.00,170.00
Cucumber(Hybrid),11/19/2022,50.00,60.00,56.67
Cucumber(Local),11/19/2022,60.00,70.00,66.00
Fennel Leaf,11/19/2022,150.00,180.00,165.00
Fenugreek Leaf,11/19/2022,150.00,180.00,170.00
Fish Fresh(Bachuwa),11/19/2022,240.00,250.00,246.67
Fish Fresh(Chhadi),11/19/2022,240.00,250.00,246.67
Fish Fresh(Mungari),11/19/2022,210.00,230.00,223.33
Fish Fresh(Rahu),11/19/2022,330.00,350.00,343.33
French Bean(Hybrid),11/19/2022,70.00,80.00,76.67
French Bean(Local),11/19/2022,60.00,70.00,65.00
French Bean(Rajma),11/19/2022,90.00,100.00,96.67
Garlic Dry Chinese,11/19/2022,160.00,170.00,165.00
Garlic Dry Nepali,11/19/2022,100.00,110.00,106.67
Garlic Green,11/19/2022,140.00,150.00,146.67
Ginger,11/19/2022,50.00,60.00,56.67
Grapes(Black),11/19/2022,380.00,400.00,390.00
Grapes(Green),11/19/2022,280.00,300.00,290.00
Green Peas,11/19/2022,140.00,150.00,146.00
Gundruk,11/19/2022,300.00,350.00,325.00
Kiwi,11/19/2022,200.00,220.00,210.00
Knolkhol,11/19/2022,70.00,80.00,75.00
Lemon,11/19/2022,40.00,50.00,46.67
Lettuce,11/19/2022,50.00,60.00,56.67
Lime,11/19/2022,100.00,120.00,110.00
Mandarin,11/19/2022,220.00,250.00,240.00
Mint,11/19/2022,600.00,700.00,650.00
Mombin,11/19/2022,60.00,70.00,66.00
Mushroom(Button),11/19/2022,340.00,380.00,360.00
Mushroom(Kanya),11/19/2022,100.00,120.00,110.00
Mustard Leaf,11/19/2022,40.00,50.00,46.67
Okara,11/19/2022,90.00,100.00,96.67
Onion Dry (Indian),11/19/2022,45.00,48.00,46.80
Onion Green,11/19/2022,80.00,90.00,86.67
Orange(Indian),11/19/2022,90.00,100.00,95.00
Orange(Nepali),11/19/2022,100.00,110.00,105.00
Papaya(Indian),11/19/2022,90.00,100.00,96.67
Papaya(Nepali),11/19/2022,70.00,80.00,76.67
Parseley,11/19/2022,500.00,600.00,550.00
Pear(Chinese),11/19/2022,220.00,250.00,235.00
Pineapple,11/19/2022,150.00,200.00,175.00
Pointed Gourd(Local),11/19/2022,40.00,50.00,45.00
Pointed Gourd(Terai),11/19/2022,40.00,50.00,45.00
Pomegranate,11/19/2022,380.00,400.00,390.00
Potato Red,11/19/2022,55.00,60.00,57.50
Potato Red(Indian),11/19/2022,32.00,35.00,33.60
Potato White,11/19/2022,45.00,50.00,47.00
Pumpkin,11/19/2022,20.00,30.00,25.00
Raddish Red,11/19/2022,30.00,40.00,35.00
Raddish White(Hybrid),11/19/2022,30.00,35.00,33.33
Raddish White(Local),11/19/2022,20.00,25.00,22.50
Red Cabbbage,11/19/2022,90.00,100.00,96.67
Smooth Gourd,11/19/2022,60.00,70.00,66.67
Spinach Leaf,11/19/2022,150.00,180.00,160.00
Squash(Long),11/19/2022,30.00,40.00,35.00
Squash(Round),11/19/2022,30.00,40.00,35.00
Strawberry,11/19/2022,600.00,700.00,650.00
Sugarbeet,11/19/2022,80.00,90.00,85.00
Sugarcane,11/19/2022,80.00,90.00,86.67
Sweet Orange,11/19/2022,120.00,130.00,126.67
Sweet Potato,11/19/2022,40.00,50.00,46.67
Sword Bean,11/19/2022,100.00,120.00,110.00
Tamarind,11/19/2022,140.00,150.00,146.67
Tofu,11/19/2022,120.00,130.00,126.67
Tomato Big(Indian),11/19/2022,60.00,70.00,65.00
Tomato Big(Nepali),11/19/2022,50.00,60.00,55.00
Tomato Small(Local),11/19/2022,16.00,22.00,19.20
Tomato Small(Tunnel),11/19/2022,33.00,40.00,36.80
Turnip,11/19/2022,50.00,60.00,56.67
Turnip A,11/19/2022,80.00,90.00,85.00
Water Melon(Green),11/19/2022,70.00,80.00,75.00
Yam,11/19/2022,80.00,90.00,86.67
Amla,11/21/2022,50.00,60.00,56.67
Apple(Fuji),11/21/2022,220.00,250.00,240.00
Arum,11/21/2022,40.00,50.00,45.00
Asparagus,11/21/2022,0.00,0.00,0.00
Avocado,11/21/2022,200.00,250.00,225.00
Bakula,11/21/2022,110.00,120.00,116.67
Bamboo Shoot,11/21/2022,100.00,110.00,106.67
Banana,11/21/2022,120.00,130.00,126.67
Barela,11/21/2022,30.00,40.00,36.67
Bitter Gourd,11/21/2022,60.00,70.00,66.67
Bottle Gourd,11/21/2022,30.00,40.00,35.00
Brd Leaf Mustard,11/21/2022,70.00,80.00,76.00
Brinjal Long,11/21/2022,30.00,40.00,35.00
Brinjal Round,11/21/2022,60.00,70.00,66.67
Brocauli,11/21/2022,110.00,120.00,116.67
Cabbage(Local),11/21/2022,30.00,40.00,35.00
Capsicum,11/21/2022,70.00,80.00,75.00
Carrot(Local),11/21/2022,120.00,130.00,126.67
Cauli Local,11/21/2022,40.00,50.00,46.00
Cauli Local(Jyapu),11/21/2022,50.00,60.00,56.67
Celery,11/21/2022,300.00,350.00,333.33
Chilli Dry,11/21/2022,450.00,460.00,455.00
Chilli Green,11/21/2022,50.00,60.00,56.67
Chilli Green(Akbare),11/21/2022,150.00,180.00,163.33
Chilli Green(Bullet),11/21/2022,60.00,70.00,66.67
Chilli Green(Machhe),11/21/2022,120.00,150.00,135.00
Christophine,11/21/2022,15.00,20.00,17.50
Clive Dry,11/21/2022,200.00,220.00,210.00
Clive Green,11/21/2022,120.00,150.00,135.00
Coriander Green,11/21/2022,250.00,300.00,283.33
Cow pea(Long),11/21/2022,80.00,90.00,86.67
Cowpea(Short),11/21/2022,50.00,60.00,56.67
Cress Leaf,11/21/2022,150.00,180.00,170.00
Cucumber(Hybrid),11/21/2022,40.00,50.00,45.00
Cucumber(Local),11/21/2022,50.00,60.00,55.00
Fennel Leaf,11/21/2022,150.00,180.00,170.00
Fenugreek Leaf,11/21/2022,150.00,180.00,170.00
Fish Fresh(Bachuwa),11/21/2022,240.00,250.00,246.67
Fish Fresh(Chhadi),11/21/2022,240.00,250.00,245.00
Fish Fresh(Mungari),11/21/2022,220.00,250.00,235.00
Fish Fresh(Rahu),11/21/2022,330.00,350.00,340.00
French Bean(Hybrid),11/21/2022,110.00,120.00,116.67
French Bean(Local),11/21/2022,90.00,100.00,96.67
French Bean(Rajma),11/21/2022,90.00,100.00,96.67
Garlic Dry Chinese,11/21/2022,170.00,180.00,176.00
Garlic Dry Nepali,11/21/2022,110.00,120.00,116.67
Garlic Green,11/21/2022,150.00,180.00,170.00
Ginger,11/21/2022,50.00,60.00,56.67
Grapes(Black),11/21/2022,380.00,400.00,390.00
Grapes(Green),11/21/2022,280.00,300.00,293.33
Green Peas,11/21/2022,150.00,160.00,156.67
Gundruk,11/21/2022,300.00,350.00,325.00
Kiwi,11/21/2022,200.00,250.00,233.33
Knolkhol,11/21/2022,70.00,80.00,76.67
Lemon,11/21/2022,40.00,50.00,46.67
Lettuce,11/21/2022,50.00,60.00,56.67
Lime,11/21/2022,110.00,130.00,120.00
Mandarin,11/21/2022,220.00,250.00,235.00
Mint,11/21/2022,600.00,700.00,666.67
Mombin,11/21/2022,70.00,80.00,76.67
Mushroom(Button),11/21/2022,300.00,350.00,324.00
Mushroom(Kanya),11/21/2022,80.00,100.00,92.00
Mustard Leaf,11/21/2022,50.00,60.00,56.67
Okara,11/21/2022,100.00,120.00,110.00
Onion Dry (Indian),11/21/2022,40.00,45.00,41.80
Onion Green,11/21/2022,100.00,110.00,106.67
Orange(Indian),11/21/2022,90.00,100.00,96.67
Orange(Nepali),11/21/2022,100.00,110.00,105.00
Papaya(Indian),11/21/2022,100.00,120.00,113.33
Papaya(Nepali),11/21/2022,80.00,90.00,86.67
Parseley,11/21/2022,500.00,600.00,566.67
Pear(Chinese),11/21/2022,220.00,250.00,235.00
Pineapple,11/21/2022,150.00,200.00,175.00
Pointed Gourd(Local),11/21/2022,50.00,60.00,56.67
Pointed Gourd(Terai),11/21/2022,50.00,60.00,56.67
Pomegranate,11/21/2022,380.00,400.00,390.00
Potato Red,11/21/2022,60.00,65.00,62.50
Potato Red(Indian),11/21/2022,32.00,35.00,33.40
Potato White,11/21/2022,45.00,50.00,47.50
Pumpkin,11/21/2022,25.00,35.00,30.00
Raddish Red,11/21/2022,30.00,40.00,36.67
Raddish White(Hybrid),11/21/2022,40.00,50.00,45.00
Raddish White(Local),11/21/2022,25.00,30.00,27.50
Red Cabbbage,11/21/2022,90.00,100.00,96.67
Sarifa,11/21/2022,400.00,450.00,425.00
Smooth Gourd,11/21/2022,60.00,70.00,66.67
Spinach Leaf,11/21/2022,150.00,180.00,170.00
Squash(Long),11/21/2022,40.00,50.00,45.00
Squash(Round),11/21/2022,40.00,50.00,45.00
Strawberry,11/21/2022,600.00,650.00,625.00
Sugarbeet,11/21/2022,80.00,90.00,86.67
Sugarcane,11/21/2022,80.00,90.00,85.00
Sweet Orange,11/21/2022,140.00,160.00,150.00
Sweet Potato,11/21/2022,40.00,50.00,46.67
Sword Bean,11/21/2022,110.00,120.00,116.67
Tamarind,11/21/2022,140.00,150.00,146.67
Tofu,11/21/2022,120.00,130.00,126.67
Tomato Big(Indian),11/21/2022,60.00,70.00,65.00
Tomato Big(Nepali),11/21/2022,50.00,60.00,55.00
Tomato Small(Local),11/21/2022,22.00,30.00,26.00
Tomato Small(Tunnel),11/21/2022,28.00,35.00,31.20
Turnip,11/21/2022,50.00,60.00,56.67
Turnip A,11/21/2022,80.00,90.00,86.67
Water Melon(Green),11/21/2022,80.00,90.00,86.67
Yam,11/21/2022,90.00,100.00,96.67
Amla,11/22/2022,60.00,70.00,66.67
Apple(Fuji),11/22/2022,220.00,260.00,240.00
Arum,11/22/2022,40.00,50.00,45.00
Asparagus,11/22/2022,0.00,0.00,0.00
Avocado,11/22/2022,200.00,250.00,233.33
Bakula,11/22/2022,100.00,110.00,106.67
Bamboo Shoot,11/22/2022,100.00,110.00,106.00
Banana,11/22/2022,120.00,130.00,126.67
Barela,11/22/2022,30.00,40.00,35.00
Bitter Gourd,11/22/2022,60.00,70.00,65.00
Bottle Gourd,11/22/2022,30.00,40.00,35.00
Brd Leaf Mustard,11/22/2022,60.00,70.00,65.00
Brinjal Long,11/22/2022,40.00,50.00,45.00
Brinjal Round,11/22/2022,50.00,60.00,55.00
Brocauli,11/22/2022,100.00,120.00,110.00
Cabbage(Local),11/22/2022,30.00,40.00,35.00
Capsicum,11/22/2022,60.00,70.00,64.00
Carrot(Local),11/22/2022,110.00,120.00,116.00
Cauli Local,11/22/2022,35.00,45.00,40.00
Cauli Local(Jyapu),11/22/2022,50.00,60.00,55.00
Celery,11/22/2022,300.00,350.00,325.00
Chilli Dry,11/22/2022,440.00,450.00,446.67
Chilli Green,11/22/2022,50.00,60.00,57.50
Chilli Green(Akbare),11/22/2022,150.00,180.00,170.00
Chilli Green(Bullet),11/22/2022,60.00,70.00,66.67
Chilli Green(Machhe),11/22/2022,90.00,100.00,96.67
Christophine,11/22/2022,12.00,16.00,14.00
Clive Dry,11/22/2022,220.00,250.00,235.00
Clive Green,11/22/2022,150.00,180.00,165.00
Coriander Green,11/22/2022,200.00,250.00,225.00
Cow pea(Long),11/22/2022,80.00,90.00,86.67
Cowpea(Short),11/22/2022,50.00,60.00,56.67
Cress Leaf,11/22/2022,150.00,180.00,170.00
Cucumber(Hybrid),11/22/2022,30.00,40.00,35.00
Cucumber(Local),11/22/2022,50.00,60.00,56.00
Fennel Leaf,11/22/2022,150.00,180.00,165.00
Fenugreek Leaf,11/22/2022,150.00,180.00,170.00
Fish Fresh(Bachuwa),11/22/2022,240.00,250.00,246.67
Fish Fresh(Chhadi),11/22/2022,240.00,250.00,246.67
Fish Fresh(Mungari),11/22/2022,210.00,230.00,223.33
Fish Fresh(Rahu),11/22/2022,330.00,350.00,343.33
French Bean(Hybrid),11/22/2022,90.00,100.00,96.00
French Bean(Local),11/22/2022,70.00,80.00,76.00
French Bean(Rajma),11/22/2022,100.00,110.00,106.67
Garlic Dry Chinese,11/22/2022,170.00,180.00,176.00
Garlic Dry Nepali,11/22/2022,100.00,120.00,110.00
Garlic Green,11/22/2022,150.00,180.00,170.00
Ginger,11/22/2022,50.00,60.00,55.00
Grapes(Black),11/22/2022,380.00,400.00,390.00
Grapes(Green),11/22/2022,280.00,300.00,293.33
Green Peas,11/22/2022,150.00,160.00,156.00
Gundruk,11/22/2022,300.00,350.00,333.33
Kiwi,11/22/2022,200.00,250.00,225.00
Lemon,11/22/2022,40.00,50.00,46.67
Lettuce,11/22/2022,70.00,80.00,75.00
Lime,11/22/2022,120.00,130.00,125.00
Mandarin,11/22/2022,220.00,250.00,240.00
Mint,11/22/2022,600.00,700.00,650.00
Mombin,11/22/2022,70.00,80.00,76.00
Mushroom(Button),11/22/2022,300.00,350.00,325.00
Mushroom(Kanya),11/22/2022,100.00,120.00,110.00
Mustard Leaf,11/22/2022,50.00,60.00,56.67
Okara,11/22/2022,110.00,120.00,115.00
Onion Dry (Indian),11/22/2022,38.00,42.00,40.00
Onion Green,11/22/2022,80.00,90.00,86.67
Orange(Indian),11/22/2022,100.00,110.00,106.67
Orange(Nepali),11/22/2022,100.00,110.00,105.00
Papaya(Indian),11/22/2022,100.00,110.00,106.67
Papaya(Nepali),11/22/2022,80.00,90.00,86.67
Parseley,11/22/2022,500.00,600.00,550.00
Pear(Chinese),11/22/2022,220.00,250.00,235.00
Pineapple,11/22/2022,150.00,180.00,160.00
Pointed Gourd(Local),11/22/2022,60.00,70.00,65.00
Pointed Gourd(Terai),11/22/2022,60.00,70.00,65.00
Pomegranate,11/22/2022,380.00,400.00,393.33
Potato Red,11/22/2022,60.00,65.00,62.50
Potato Red(Indian),11/22/2022,34.00,36.00,35.00
Potato White,11/22/2022,45.00,50.00,47.50
Pumpkin,11/22/2022,25.00,35.00,30.00
Raddish White(Hybrid),11/22/2022,40.00,50.00,45.00
Raddish White(Local),11/22/2022,25.00,30.00,27.50
Red Cabbbage,11/22/2022,100.00,120.00,110.00
Smooth Gourd,11/22/2022,70.00,80.00,76.67
Spinach Leaf,11/22/2022,150.00,180.00,170.00
Squash(Long),11/22/2022,30.00,40.00,35.00
Squash(Round),11/22/2022,30.00,40.00,35.00
Strawberry,11/22/2022,600.00,700.00,650.00
Sugarbeet,11/22/2022,80.00,90.00,85.00
Sugarcane,11/22/2022,80.00,90.00,86.67
Sweet Orange,11/22/2022,150.00,180.00,170.00
Sweet Potato,11/22/2022,40.00,50.00,45.00
Sword Bean,11/22/2022,110.00,120.00,115.00
Tamarind,11/22/2022,140.00,150.00,145.00
Tofu,11/22/2022,120.00,130.00,126.67
Tomato Big(Indian),11/22/2022,60.00,70.00,65.00
Tomato Big(Nepali),11/22/2022,50.00,60.00,55.00
Tomato Small(Local),11/22/2022,22.00,28.00,25.60
Tomato Small(Tunnel),11/22/2022,25.00,35.00,30.00
Turnip,11/22/2022,50.00,60.00,56.00
Turnip A,11/22/2022,80.00,90.00,86.67
Water Melon(Green),11/22/2022,80.00,90.00,86.67
Yam,11/22/2022,60.00,70.00,66.67
Amla,11/23/2022,60.00,70.00,65.00
Apple(Fuji),11/23/2022,220.00,250.00,240.00
Arum,11/23/2022,40.00,50.00,46.67
Asparagus,11/23/2022,0.00,0.00,0.00
Avocado,11/23/2022,200.00,250.00,225.00
Bakula,11/23/2022,100.00,110.00,105.00
Bamboo Shoot,11/23/2022,100.00,110.00,106.67
Banana,11/23/2022,120.00,130.00,126.67
Barela,11/23/2022,30.00,40.00,35.00
Bitter Gourd,11/23/2022,60.00,70.00,66.67
Bottle Gourd,11/23/2022,30.00,40.00,36.67
Brd Leaf Mustard,11/23/2022,50.00,60.00,56.00
Brinjal Long,11/23/2022,30.00,40.00,35.00
Brinjal Round,11/23/2022,50.00,60.00,56.67
Brocauli,11/23/2022,100.00,120.00,110.00
Cabbage(Local),11/23/2022,35.00,45.00,40.00
Capsicum,11/23/2022,60.00,70.00,64.00
Carrot(Local),11/23/2022,120.00,130.00,125.00
Cauli Local,11/23/2022,35.00,45.00,40.00
Cauli Local(Jyapu),11/23/2022,45.00,55.00,50.00
Celery,11/23/2022,300.00,350.00,325.00
Chilli Dry,11/23/2022,440.00,450.00,445.00
Chilli Green,11/23/2022,50.00,60.00,55.00
Chilli Green(Akbare),11/23/2022,140.00,150.00,146.67
Chilli Green(Bullet),11/23/2022,60.00,70.00,66.67
Chilli Green(Machhe),11/23/2022,80.00,90.00,86.67
Christophine,11/23/2022,15.00,20.00,17.50
Clive Dry,11/23/2022,220.00,250.00,235.00
Clive Green,11/23/2022,150.00,180.00,165.00
Coriander Green,11/23/2022,200.00,250.00,225.00
Cow pea(Long),11/23/2022,80.00,90.00,85.00
Cowpea(Short),11/23/2022,40.00,50.00,46.67
Cress Leaf,11/23/2022,150.00,180.00,170.00
Cucumber(Hybrid),11/23/2022,30.00,40.00,36.67
Cucumber(Local),11/23/2022,50.00,60.00,56.00
Fennel Leaf,11/23/2022,150.00,180.00,170.00
Fenugreek Leaf,11/23/2022,150.00,180.00,170.00
Fish Fresh(Bachuwa),11/23/2022,240.00,250.00,245.00
Fish Fresh(Chhadi),11/23/2022,240.00,250.00,245.00
Fish Fresh(Mungari),11/23/2022,210.00,230.00,220.00
Fish Fresh(Rahu),11/23/2022,330.00,350.00,340.00
French Bean(Hybrid),11/23/2022,90.00,100.00,95.00
French Bean(Local),11/23/2022,70.00,80.00,75.00
